"","Kode Barang","Nama Barang","Merk","No Org","No Prod","Mobil","Harga Jual","Harga Beli","Stok","max stok","Total Penjualan"
"","00000308","BESI BETON 59","","","","","26500","0","0","","6632"
"","00000309","BESI BETON 03","","","","","NaN","0","0","",""
"","00000310","BESI BETON 147","","","","","NaN","0","0","",""
"","00000311","BESI BETON 6 A","","","","","NaN","0","0","",""
"","00000312","BESI BETON 6 A","","","","","NaN","0","0","",""
"","00000313","BESI BETON 11","","","","","NaN","0","0","",""
"","00000314","BESI BETON NO 10","","","","","NaN","0","0","",""
"","00000315","BESI BETON 110","","","","","NaN","0","0","",""
"","00000316","BESI BETON 08","","","","","NaN","0","0","",""
"","00000317","BESI BETON 02","","","","","NaN","0","0","","25"
"","00000318","BESI BETON 6 C","","","","","NaN","0","0","",""
"","00000319","BESI BETON 6 C TU","","","","","NaN","0","0","",""
"","00000320","BESI BETON 30","","","","","26500","0","0","","4835"
"","00000321","BESI BETON 60","","","","","NaN","0","0","",""
"","00000322","BESI BETON 62","","","","","NaN","0","0","",""
"","00000323","BESI BETON 151","","","","","NaN","0","0","",""
"","00000324","BESI BETON 64","","","","","NaN","0","0","",""
"","00000325","BESI BETON 65","","","","","NaN","0","0","",""
"","00000326","BESI BETON 66","","","","","NaN","0","0","",""
"","00000327","BESI BETON 67","","","","","33000","0","0","","500"
"","00000328","BESI BETON 68","","","","","NaN","0","0","",""
"","00000329","BESI BETON 70","","","","","NaN","0","0","",""
"","00000330","BESI BETON 91","","","","","NaN","0","0","",""
"","00000331","BESI BETON 72","","","","","NaN","0","0","",""
"","00000332","BESI BETON 73","","","","","NaN","0","0","",""
"","00000333","BESI BETON 74","","","","","NaN","0","0","",""
"","00000334","BESI BETON 76","","","","","NaN","0","0","",""
"","00000335","BESI BETON 77","","","","","NaN","0","0","",""
"","00000336","BESI BETON 78","","","","","NaN","0","0","",""
"","00000337","BESI BETON 79","","","","","NaN","0","0","",""
"","00000338","BESI BETON 8","","","","","NaN","0","0","",""
"","00000339","BESI BETON 8","","","","","NaN","0","0","",""
"","00000340","BESI BETON 8","","","","","NaN","0","0","",""
"","00000341","BESI BETON 8","","","","","NaN","0","0","",""
"","00000342","BESI BETON 8 F PD TU","","","","","NaN","0","0","",""
"","00000343","BESI BETON 8 F PJ TU","","","","","NaN","0","0","",""
"","00000344","BESI BETON 8 PJ 10","","","","","NaN","0","0","",""
"","00000345","BESI BETON 8 SNI","","","","","31500","0","0","","5791"
"","00000346","BESI BETON 87","","","","","NaN","0","0","",""
"","00000347","BESI BETON 65","","","","","NaN","0","0","",""
"","00000348","BESI BETON 82","","","","","NaN","0","0","",""
"","00000349","BESI BETON 83","","","","","NaN","0","0","",""
"","00000350","BESI BETON 84","","","","","NaN","0","0","",""
"","00000351","BESI BETON 85","","","","","NaN","0","0","",""
"","00000352","BESI BETON 86","","","","","NaN","0","0","",""
"","00000353","BESI BETON 87","","","","","NaN","0","0","",""
"","00000354","BESI BETON 88","","","","","NaN","0","0","",""
